,CPU Name,Platform Name,Single-core Score,Multi-core Score
23216,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1243,3518
23217,AMD Ryzen 3 7320U 6375 MHz (4 cores),Linux,1392,4518
23218,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,805,2641
23219,AMD Ryzen 3 7320U 6375 MHz (4 cores),Linux,1328,4007
23220,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1123,3818
23221,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,819,2766
23222,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1060,3358
23223,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1326,4203
23224,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,913,3093
23225,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1222,3365
23226,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,781,2855
23227,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1296,3531
23228,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1092,3393
23229,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1233,3813
23230,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1054,3422
23231,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1324,4208
23232,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1293,3826
23233,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1234,3444
23234,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1195,3424
23235,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1236,3518
23236,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1149,3484
23237,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1120,3810
23238,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,988,3117
23239,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1112,3319
23240,AMD Ryzen 3 7320U 6375 MHz (4 cores),Linux,1400,4575
23241,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1055,3071
23242,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1280,3577
23243,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1311,4009
23244,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,869,2167
23245,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1312,3824
23246,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1315,3727
23247,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1261,3466
23248,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1216,3447
23249,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1370,4357
23250,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1236,3794
23251,AMD Ryzen 3 7320U 6375 MHz (4 cores),Linux,1339,3704
23252,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1284,3983
23253,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1349,4214
23254,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1344,4058
23255,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1246,3885
23256,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1358,4178
23257,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1046,3371
23258,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1110,3349
23259,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1075,2805
23260,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1225,3984
23261,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1060,3392
23262,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1238,3124
23263,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1100,3650
23264,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1158,3492
23265,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1113,3570
23266,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1354,3396
23267,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1275,4192
23268,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1335,3979
23269,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1218,3627
23270,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1084,3325
23271,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1042,3322
23272,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1307,4202
23273,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1315,4111
23274,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1284,4123
23275,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1295,4023
23276,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1055,3266
23277,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1069,3283
23278,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,733,2705
23279,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1069,3285
23280,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1064,3407
23281,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1099,3795
23282,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,983,3634
23283,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1295,4031
23284,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1307,4081
23285,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,935,3811
23286,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1294,3725
23287,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1322,4060
23288,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1037,3347
23289,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1165,3343
23290,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1285,4026
23291,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1316,3941
23292,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1330,4282
23293,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1333,3960
23294,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1331,4140
23295,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1340,4257
23296,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1360,4215
23297,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1333,4268
23298,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1063,3288
23299,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1285,4215
23300,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1322,4164
23301,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1299,3901
23302,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1239,3564
23303,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1283,3553
23304,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,675,2431
23305,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1077,3532
23306,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1011,3569
23307,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1294,3724
23308,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1309,3971
23309,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1305,4260
23310,AMD Ryzen 3 7320U 2401 MHz (4 cores),Windows,1051,3321
