,CPU Name,Platform Name,Single-core Score,Multi-core Score,quarry
18315,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1900,7280,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18316,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1868,7206,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18317,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1939,7422,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18318,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1792,6736,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18319,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1510,6676,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18320,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1864,7167,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18321,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1921,7488,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18322,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1818,8052,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18323,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1790,8009,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18324,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1970,9490,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18325,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1923,7367,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18326,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1818,7391,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18327,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1805,7139,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18328,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1852,7171,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18329,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1943,5936,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18330,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1916,8409,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18331,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1779,6964,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18332,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1904,8357,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18333,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1821,8683,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18334,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1622,5229,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18335,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1822,6848,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18336,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1872,5185,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18337,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1626,6075,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18338,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,1874,7216,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18339,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1914,5951,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18340,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1837,6575,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18341,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1779,5904,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18342,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1903,7395,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18343,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1861,8040,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18344,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1923,8763,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18345,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1903,8758,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18346,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,1974,9326,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18347,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1240,6066,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18348,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1785,8684,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18349,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1776,8623,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18350,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1486,5683,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18351,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1341,4540,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18352,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1864,7295,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
